Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
5k,1,1,REST,Foundation Run 1,Active Recovery,Speed Play Run 1,Active Recovery,Foundation Run 2,Active Recovery
5k,1,2,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 2,Foundation Run 2,Foundation Run 3
5k,1,3,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 1,Foundation Run 2,Foundation Run 3
5k,1,4,REST,Speed Play Run 2,Foundation Run 3,Foundation Run 3,Hill Repetition Run 1,Recovery Run 3,Fast Finish Run 2
5k,1,5,REST,Speed Play Run 3,Foundation Run 4,Foundation Run 4,Hill Repetition Run 2,Recovery Run 4,Fast Finish Run 3
5k,1,6,REST,Speed Play Run 2,Foundation Run 3,Foundation Run 3,Hill Repetition Run 1,Recovery Run 3,Fast Finish Run 2
5k,1,7,REST,Speed Play Run 4,Recovery Run 4,Foundation Run 4,Long Interval Run 1,Recovery Run 4,Fast Finish Run 4
5k,1,8,REST,Speed Play Run 5,Recovery Run 5,Foundation Run 5,Long Interval Run 2,Recovery Run 5,Fast Finish Run 5
5k,1,9,REST,Long Interval Run 1,Recovery Run 3,Foundation Run 3,Speed Play Run 1,Recovery Run 1,5K Race
5k,2,1,Foundation Run 5,Speed Play Run 3,Foundation Run 5,Foundation Run 5,Hill Repetition Run 2,Recovery Run 5,Long Run 1
5k,2,2,Foundation Run 5,Speed Play Run 5,Foundation Run 6,Foundation Run 5,Hill Repetition Run 4,Recovery Run 5,Long Run 2
5k,2,3,REST,Speed Play Run 3,Foundation Run 6,Foundation Run 5,Hill Repetition Run 3,Recovery Run 6,Long Run 1
5k,2,4,Foundation Run 6,Long Interval Run 1,Recovery Run 6,Foundation Run 6,Short Interval Run 4,Recovery Run 6,Fast Finish Run 7
5k,2,5,Recovery Run 6,Long Interval Run 2,Recovery Run 6,Foundation Run 7,Short Interval Run 5,Recovery Run 6,Fast Finish Run 8
5k,2,6,REST,Long Interval Run 1,Recovery Run 5,Foundation Run 6,Short Interval Run 2,Recovery Run 5,Fast Finish Run 6
5k,2,7,Recovery Run 6,Short Interval Run 3,Recovery Run 6,Foundation Run 8,Long Interval Run 6,Recovery Run 6,Fast Finish Run 9
5k,2,8,Recovery Run 6,Short Interval Run 2,Recovery Run 6,Foundation Run 9,Long Interval Run 7,Recovery Run 6,Fast Finish Run 10
5k,2,9,REST,Long Interval Run 2,Recovery Run 4,Foundation Run 3,Speed Play Run 2,Recovery Run 2,5K Race
5k,3,1,Foundation Run 6,Speed Play Run 5,Foundation Run 6,Foundation Run 6,Hill Repetition Run 4,Recovery Run 6,Long Run 2
5k,3,1,,Foundation Run 4,,,,,
5k,3,2,Foundation Run 6,Speed Play Run 10,Foundation Run 6,Foundation Run 6,Hill Repetition Run 5,Recovery Run 6,Long Run 3
5k,3,2,,Foundation Run 4,,Foundation Run 4,,,
5k,3,3,REST,Speed Play Run 7,Foundation Run 6,Foundation Run 6,Hill Repetition Run 3,Recovery Run 6,Long Run 2
5k,3,3,,Foundation Run 6,,,,,
5k,3,4,Foundation Run 6,Long Interval Run 2,Foundation Run 6,Foundation Run 6,Short Interval Run 7,Recovery Run 6,Tempo Run 6
5k,3,4,,Recovery Run 5,,Foundation Run 5,,Foundation Run 5,
5k,3,5,Recovery Run 6,Long Interval Run 4,Foundation Run 6,Foundation Run 6,Short Interval Run 8,Recovery Run 6,Tempo Run 7
5k,3,5,,Recovery Run 6,,Foundation Run 6,,Foundation Run 6,
5k,3,6,REST,Long Interval Run 2,Foundation Run 6,Foundation Run 6,Short Interval Run 5,Recovery Run 6,Tempo Run 4
5k,3,6,,Recovery Run 5,,Foundation Run 5,,Foundation Run 5,
5k,3,7,Recovery Run 6,Short Interval Run 4,Foundation Run 6,Foundation Run 6,Long Interval Run 9,Recovery Run 6,Fast Finish Run 10
5k,3,7,,Recovery Run 6,,Foundation Run 6,,Foundation Run 6,
5k,3,8,Recovery Run 6,Short Interval Run 3,Foundation Run 6,Foundation Run 6,Long Interval Run 8,Recovery Run 6,Fast Finish Run 8
5k,3,8,,Recovery Run 5,,Foundation Run 5,,Foundation Run 5,
5k,3,9,REST,Long Interval Run 4,Recovery Run 5,Foundation Run 4,Speed Play Run 2,Recovery Run 3,5K Race
10k,1,1,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 1,Foundation Run 2,Foundation Run 3
10k,1,2,REST,Fast Finish Run 2,Foundation Run 3,Foundation Run 2,Speed Play Run 2,Foundation Run 2,Foundation Run 4
10k,1,3,REST,Fast Finish Run 1,Foundation Run 2,Foundation Run 2,Speed Play Run 1,Foundation Run 2,Foundation Run 3
10k,1,4,REST,Fast Finish Run 3,Foundation Run 3,Foundation Run 2,Hill Repetition Run 1,Recovery Run 3,Foundation Run 5
10k,1,5,REST,Fast Finish Run 3,Foundation Run 3,Foundation Run 3,Hill Repetition Run 2,Recovery Run 3,Foundation Run 6
10k,1,6,REST,Fast Finish Run 2,Foundation Run 2,Foundation Run 2,Hill Repetition Run 1,Recovery Run 3,Foundation Run 5
10k,1,7,REST,Speed Play Run 3,Foundation Run 3,Foundation Run 4,Short Interval Run 1,Recovery Run 3,Foundation Run 5
10k,1,8,REST,Speed Play Run 5,Foundation Run 3,Foundation Run 4,Short Interval Run 2,Recovery Run 4,Foundation Run 6
10k,1,9,REST,Long Interval Run 1,Foundation Run 3,Foundation Run 4,Speed Play Run 2,Recovery Run 3,Fast Finish Run 2
